Province,AQI,Date
Hà Nội,66.0,2026-05-24 20:19:10.180427
Thái Nguyên,25.0,2026-05-24 20:19:11.430376
Bắc Ninh,7.0,2026-05-24 20:19:12.250704
Thái Bình,8.0,2026-05-24 20:19:12.832645
Ninh Bình,3.0,2026-05-24 20:19:13.363379
Quảng Ninh,45.0,2026-05-24 20:19:13.944757
Quảng Bình,42.0,2026-05-24 20:19:14.428152
Cần Thơ,16.0,2026-05-24 20:19:15.617999
Tây Ninh,41.0,2026-05-24 20:19:16.250399
Bình Định,25.0,2026-05-24 20:19:17.382022
Quảng Ngãi,57.0,2026-05-24 20:19:18.127004
Đà Nẵng,149.0,2026-05-24 20:19:18.827362
Hà Nam,85.0,2026-05-24 20:19:19.666067
Hưng Yên,1.0,2026-05-24 20:19:20.374865
Hải Dương,53.0,2026-05-24 20:19:21.087297
Phú Thọ,67.0,2026-05-24 20:19:21.725787
Long An,25.0,2026-05-24 20:19:22.459368
